# SilentBlue.RemyWiki maimai page titles audited 2026-07-31
# source_id	catalog_title	silentblue_page_title	match
泣き虫O'clock	泣き虫O'clock	Nakimushi O'clock	exact
脳漿炸裂ガール	脳漿炸裂ガール	Noushou sakuretsu girl	exact
カゲロウデイズ	カゲロウデイズ	Kagerou daze	exact
チルノのパーフェクトさんすう教室	チルノのパーフェクトさんすう教室	Cirno no perfect sansuu kyoushitsu	exact
Bad Apple!! feat.nomico	Bad Apple!! feat.nomico	Bad Apple!! feat.nomico	exact
Grip & Break down !!	Grip & Break down !!	Grip & Break down !!	exact
ナイト・オブ・ナイツ	ナイト・オブ・ナイツ	Night of knights	exact
時空を超えて久しぶり！	時空を超えて久しぶり！	Jikuu wo koete hisashiburi!	exact
Her Dream Is To Be A Fantastic Sorceress	Her Dream Is To Be A Fantastic Sorceress	Her Dream Is To Be A Fantastic Sorceress	exact
神室雪月花	神室雪月花	Kamuro setsugekka	exact
KONNANじゃないっ！	KONNANじゃないっ！	KONNAN janai!	exact
awake	awake	awake	exact
Terminal Storm	Terminal Storm	Terminal Storm	exact
記憶、記録	記憶、記録	Kioku, kiroku	exact
Blew Moon	Blew Moon	Blew Moon	exact
Pixel Voyage	Pixel Voyage	Pixel Voyage	exact
Get Happy	Get Happy	Get Happy	exact
Beat of getting entangled	Beat of getting entangled	Beat of getting entangled	exact
Cosmic Train	Cosmic Train	Cosmic Train	exact
maiム・maiム feat.週刊少年マガジン	maiム・maiム feat.週刊少年マガジン	maim maim feat. Shuukan Shounen Magazine	exact
Backyun! －悪い女－	Backyun! －悪い女－	Backyun! -warui onna-	exact
みんなのマイマイマー	みんなのマイマイマー	Minna no maimaimer	exact
円舞曲、君に	円舞曲、君に	Enbukyoku, kimi ni	exact
Burning Hearts ～炎のANGEL～	Burning Hearts ～炎のANGEL～	Burning Hearts ~honoo no ANGEL~	exact
いーあるふぁんくらぶ	いーあるふぁんくらぶ	Yi-er fun club	exact
Ignite Infinity	Ignite Infinity	Ignite Infinity	exact
トルコ行進曲 - オワタ＼(^o^)／	トルコ行進曲 - オワタ＼(^o^)／	Turco koushinkyoku - Owata	exact
ココロスキャンのうた	ココロスキャンのうた	Kokoro scan no uta	exact
